"","GEO","Ref_Date","TYPE","STATUS","IMMIGRA","Value","GEO2"
"1","Alberta","1999/2000","University","Part-time student","International students",666,"AB"
"2","Alberta","2001/2002","University","Total, registration status","Total, student status",79131,"AB"
"3","Alberta","1992/1993","College","Total, registration status","Canadian students",34743,"AB"
"4","Alberta","2002/2003","College","Total, registration status","Canadian students",51723,"AB"
"5","Alberta","2013/2014","University","Full-time student","Total, student status",109884,"AB"
"6","Alberta","2001/2002","University","Total, registration status","International students",4701,"AB"
"7","Alberta","2013/2014","University","Part-time student","Canadian students",20919,"AB"
"8","Alberta","2012/2013","College","Full-time student","International students",2625,"AB"
"9","Alberta","2013/2014","University","Total, registration status","International students",11796,"AB"
"10","Alberta","1999/2000","University","Part-time student","Total, student status",26019,"AB"
"11","Alberta","2002/2003","College","Part-time student","Total, student status",14829,"AB"
"12","Alberta","2012/2013","College","Total, registration status","Total, student status",59898,"AB"
"13","Alberta","1995/1996","University","Full-time student","Canadian students",50358,"AB"
"14","Alberta","1995/1996","University","Full-time student","International students",2040,"AB"
"15","Alberta","1992/1993","College","Part-time student","Total, student status",18483,"AB"
"16","Alberta","2012/2013","College","Full-time student","Canadian students",33909,"AB"
"17","Alberta","1997/1998","University","Total, registration status","Canadian students",69045,"AB"
"18","Alberta","1997/1998","University","Total, registration status","International students",2370,"AB"
"19","Alberta","2007/2008","University","Full-time student","Total, student status",68433,"AB"
"20","Alberta","2013/2014","University","Total, registration status","Total, student status",131742,"AB"
"21","Alberta","1997/1998","College","Part-time student","Total, student status",16545,"AB"
"22","Alberta","1997/1998","College","Total, registration status","Canadian students",42000,"AB"
"23","Alberta","2007/2008","University","Total, registration status","Canadian students",88983,"AB"
"24","Alberta","2002/2003","College","Part-time student","International students",294,"AB"
"25","Alberta","1992/1993","College","Part-time student","International students",159,"AB"
"26","Alberta","1992/1993","University","Total, registration status","Total, student status",68271,"AB"
"27","Alberta","2013/2014","College","Total, registration status","International students",3324,"AB"
"28","Alberta","1995/1996","University","Full-time student","Total, student status",52398,"AB"
"29","Alberta","2007/2008","University","Part-time student","Canadian students",25668,"AB"
"30","Alberta","2007/2008","University","Part-time student","International students",558,"AB"
"31","Alberta","2007/2008","University","Part-time student","Total, student status",26229,"AB"
"32","Alberta","1997/1998","College","Part-time student","Canadian students",13104,"AB"
"33","Alberta","2013/2014","University","Total, registration status","Canadian students",119838,"AB"
"34","Alberta","2006/2007","College","Full-time student","Canadian students",40989,"AB"
"35","Alberta","2006/2007","College","Full-time student","International students",1422,"AB"
"36","Alberta","2001/2002","University","Total, registration status","Canadian students",74430,"AB"
"37","Alberta","1997/1998","College","Total, registration status","Total, student status",46137,"AB"
"38","Alberta","1992/1993","University","Total, registration status","International students",2973,"AB"
"39","Alberta","2006/2007","College","Part-time student","International students",801,"AB"
"40","Alberta","2003/2004","College","Part-time student","Canadian students",14283,"AB"
"41","Alberta","2013/2014","College","Total, registration status","Total, student status",54978,"AB"
"42","Alberta","1995/1996","University","Part-time student","Canadian students",15303,"AB"
"43","Alberta","1995/1996","University","Part-time student","International students",216,"AB"
"44","Alberta","1995/1996","University","Part-time student","Total, student status",15519,"AB"
"45","Alberta","1995/1996","University","Total, registration status","Canadian students",65664,"AB"
"46","Alberta","1995/1996","College","Full-time student","Total, student status",27927,"AB"
"47","Alberta","1997/1998","College","Part-time student","International students",192,"AB"
"48","Alberta","1999/2000","College","Part-time student","Total, student status",12996,"AB"
"49","Alberta","1997/1998","College","Total, registration status","International students",564,"AB"
"50","Alberta","1999/2000","College","Total, registration status","International students",549,"AB"
"51","Alberta","1999/2000","College","Total, registration status","Total, student status",46215,"AB"
"52","Alberta","1999/2000","University","Full-time student","Canadian students",52875,"AB"
"53","Alberta","1999/2000","University","Full-time student","International students",2655,"AB"
"54","Alberta","1999/2000","University","Full-time student","Total, student status",55533,"AB"
"55","Alberta","2013/2014","University","Full-time student","Canadian students",98916,"AB"
"56","Alberta","2013/2014","University","Full-time student","International students",10929,"AB"
"57","Alberta","2013/2014","University","Part-time student","International students",867,"AB"
"58","Alberta","2013/2014","University","Part-time student","Total, student status",21861,"AB"
"59","Alberta","1999/2000","University","Total, registration status","International students",3324,"AB"
"60","Alberta","1995/1996","University","Total, registration status","International students",2256,"AB"
"61","Alberta","1995/1996","University","Total, registration status","Total, student status",67917,"AB"
"62","Alberta","1995/1996","College","Part-time student","Total, student status",15090,"AB"
"63","Alberta","1992/1993","University","Part-time student","Total, student status",17928,"AB"
"64","Alberta","1992/1993","University","Total, registration status","Canadian students",65298,"AB"
"65","Alberta","2002/2003","College","Full-time student","Total, student status",38241,"AB"
"66","Alberta","2002/2003","College","Part-time student","Canadian students",14343,"AB"
"67","Alberta","2010/2011","University","Full-time student","International students",8061,"AB"
"68","Alberta","1999/2000","University","Part-time student","Canadian students",25353,"AB"
"69","Alberta","1993/1994","University","Full-time student","Canadian students",48387,"AB"
"70","Alberta","1993/1994","University","Full-time student","International students",2697,"AB"
"71","Alberta","1999/2000","University","Total, registration status","Canadian students",78228,"AB"
"72","Alberta","2002/2003","University","Full-time student","Canadian students",59496,"AB"
"73","Alberta","2002/2003","University","Full-time student","International students",3393,"AB"
"74","Alberta","2002/2003","University","Full-time student","Total, student status",62889,"AB"
"75","Alberta","2012/2013","College","Full-time student","Total, student status",36534,"AB"
"76","Alberta","2012/2013","College","Part-time student","Canadian students",21429,"AB"
"77","Alberta","2006/2007","College","Full-time student","Total, student status",42426,"AB"
"78","Alberta","2006/2007","College","Part-time student","Canadian students",18543,"AB"
"79","Alberta","2012/2013","College","Total, registration status","Canadian students",55335,"AB"
"80","Alberta","2012/2013","College","Total, registration status","International students",4566,"AB"
"81","Alberta","2010/2011","University","Full-time student","Total, student status",95811,"AB"
"82","Alberta","2010/2011","University","Part-time student","Canadian students",31488,"AB"
"83","Alberta","2002/2003","College","Total, registration status","International students",1077,"AB"
"84","Alberta","2002/2003","College","Total, registration status","Total, student status",53073,"AB"
"85","Alberta","1995/1996","College","Full-time student","International students",387,"AB"
"86","Alberta","1997/1998","College","Full-time student","Total, student status",29595,"AB"
"87","Alberta","2000/2001","College","Full-time student","International students",495,"AB"
"88","Alberta","2000/2001","College","Full-time student","Total, student status",35391,"AB"
"89","Alberta","2000/2001","College","Part-time student","Canadian students",12339,"AB"
"90","Alberta","2000/2001","College","Part-time student","International students",165,"AB"
"91","Alberta","2000/2001","College","Part-time student","Total, student status",12654,"AB"
"92","Alberta","2000/2001","College","Total, registration status","Canadian students",47097,"AB"
"93","Alberta","1997/1998","University","Full-time student","Canadian students",50790,"AB"
"94","Alberta","1997/1998","University","Full-time student","International students",2034,"AB"
"95","Alberta","1997/1998","University","Full-time student","Total, student status",52824,"AB"
"96","Alberta","1997/1998","University","Part-time student","Canadian students",18255,"AB"
"97","Alberta","1997/1998","University","Part-time student","International students",339,"AB"
"98","Alberta","1997/1998","University","Part-time student","Total, student status",18594,"AB"
"99","Alberta","2000/2001","University","Part-time student","International students",1548,"AB"
"100","Alberta","2000/2001","University","Part-time student","Total, student status",18348,"AB"
"101","Alberta","1997/1998","University","Total, registration status","Total, student status",71418,"AB"
"102","Alberta","1998/1999","University","Total, registration status","Total, student status",73773,"AB"
"103","Alberta","2002/2003","College","Full-time student","Canadian students",37380,"AB"
"104","Alberta","2002/2003","College","Full-time student","International students",783,"AB"
"105","Alberta","1994/1995","University","Total, registration status","Total, student status",67434,"AB"
"106","Alberta","2007/2008","College","Total, registration status","Canadian students",57969,"AB"
"107","Alberta","2007/2008","College","Total, registration status","International students",2085,"AB"
"108","Alberta","2007/2008","College","Total, registration status","Total, student status",60063,"AB"
"109","Alberta","2007/2008","University","Full-time student","Canadian students",63312,"AB"
"110","Alberta","2007/2008","University","Full-time student","International students",5121,"AB"
"111","Alberta","2009/2010","College","Full-time student","Canadian students",34932,"AB"
"112","Alberta","2009/2010","College","Full-time student","International students",2361,"AB"
"113","Alberta","2009/2010","College","Full-time student","Total, student status",37293,"AB"
"114","Alberta","2009/2010","College","Part-time student","Canadian students",21246,"AB"
"115","Alberta","2009/2010","College","Part-time student","International students",780,"AB"
"116","Alberta","2010/2011","University","Total, registration status","Total, student status",128361,"AB"
"117","Alberta","2012/2013","College","Part-time student","International students",1938,"AB"
"118","Alberta","2012/2013","College","Part-time student","Total, student status",23367,"AB"
