"","GEO","REVENUE","Ref_Date","FUND","Value","Category","GEO2"
"1","Alberta","Ancillary enterprises","2014/2015","Operating",97305,"Investment, donations and other","AB"
"2","Alberta","Municipal","2014/2015","Sponsored research",2,"Municipal","AB"
"3","Alberta","Donations, bequests and non-government grants","2014/2015","Operating",29227,"Investment, donations and other","AB"
"4","Alberta","Provincial","2014/2015","Sponsored research",2694,"Provincial","AB"
"5","Alberta","Fees","2014/2015","Operating",387389,"Fees","AB"
"6","Alberta","Provincial","2014/2015","Capital",114404,"Provincial","AB"
"7","Alberta","Donations, bequests and non-government grants","2014/2015","Sponsored research",97,"Investment, donations and other","AB"
"8","Alberta","Miscellaneous","2014/2015","Operating",49626,"Investment, donations and other","AB"
"9","Alberta","Federal","2014/2015","Sponsored research",5705,"Federal","AB"
"10","Alberta","Municipal","2014/2015","Operating",47,"Municipal","AB"
"11","Alberta","Donations, bequests and non-government grants","2014/2015","Capital",1908,"Investment, donations and other","AB"
"12","Alberta","Provincial","2014/2015","Operating",812701,"Provincial","AB"
"13","Alberta","Ancillary enterprises","2014/2015","Capital",87,"Investment, donations and other","AB"
"14","Alberta","Miscellaneous","2014/2015","Sponsored research",1689,"Investment, donations and other","AB"
"15","Alberta","Federal","2014/2015","Capital",2065,"Federal","AB"
"16","Alberta","Investment income","2014/2015","Operating",49954,"Investment, donations and other","AB"
"17","Alberta","Federal","2014/2015","Operating",20599,"Federal","AB"
"18","Alberta","Miscellaneous","2014/2015","Capital",4076,"Investment, donations and other","AB"
"19","British Columbia","Federal","2014/2015","Sponsored research",1281,"Federal","BC"
"20","British Columbia","Miscellaneous","2014/2015","Capital",19566,"Investment, donations and other","BC"
"21","British Columbia","Provincial","2014/2015","Sponsored research",118,"Provincial","BC"
"22","British Columbia","Donations, bequests and non-government grants","2014/2015","Capital",1454,"Investment, donations and other","BC"
"23","British Columbia","Miscellaneous","2014/2015","Sponsored research",320,"Investment, donations and other","BC"
"24","British Columbia","Municipal","2014/2015","Operating",82,"Municipal","BC"
"25","British Columbia","Miscellaneous","2014/2015","Operating",60389,"Investment, donations and other","BC"
"26","British Columbia","Federal","2014/2015","Operating",14097,"Federal","BC"
"27","British Columbia","Fees","2014/2015","Operating",343535,"Fees","BC"
"28","British Columbia","Investment income","2014/2015","Capital",1950,"Investment, donations and other","BC"
"29","British Columbia","Ancillary enterprises","2014/2015","Operating",55177,"Investment, donations and other","BC"
"30","British Columbia","Donations, bequests and non-government grants","2014/2015","Operating",3762,"Investment, donations and other","BC"
"31","British Columbia","Investment income","2014/2015","Operating",8547,"Investment, donations and other","BC"
"32","British Columbia","Provincial","2014/2015","Operating",599194,"Provincial","BC"
"33","British Columbia","Provincial","2014/2015","Capital",42587,"Provincial","BC"
"34","British Columbia","Federal","2014/2015","Capital",683,"Federal","BC"
"35","Manitoba","Provincial","2014/2015","Capital",2966,"Provincial","MB"
"36","Manitoba","Provincial","2014/2015","Operating",191972,"Provincial","MB"
"37","Manitoba","Provincial","2014/2015","Sponsored research",306,"Provincial","MB"
"38","Manitoba","Federal","2014/2015","Sponsored research",1130,"Federal","MB"
"39","Manitoba","Donations, bequests and non-government grants","2014/2015","Operating",638,"Investment, donations and other","MB"
"40","Manitoba","Ancillary enterprises","2014/2015","Operating",13663,"Investment, donations and other","MB"
"41","Manitoba","Donations, bequests and non-government grants","2014/2015","Sponsored research",862,"Investment, donations and other","MB"
"42","Manitoba","Federal","2014/2015","Operating",9808,"Federal","MB"
"43","Manitoba","Fees","2014/2015","Operating",63849,"Fees","MB"
"44","Manitoba","Investment income","2014/2015","Capital",-21,"Investment, donations and other","MB"
"45","Manitoba","Donations, bequests and non-government grants","2014/2015","Capital",1624,"Investment, donations and other","MB"
"46","Manitoba","Miscellaneous","2014/2015","Operating",6253,"Investment, donations and other","MB"
"47","Manitoba","Investment income","2014/2015","Operating",1254,"Investment, donations and other","MB"
"48","New Brunswick","Federal","2014/2015","Operating",4627,"Federal","NB"
"49","New Brunswick","Federal","2014/2015","Capital",362,"Federal","NB"
"50","New Brunswick","Provincial","2014/2015","Capital",515,"Provincial","NB"
"51","New Brunswick","Donations, bequests and non-government grants","2014/2015","Operating",2749,"Investment, donations and other","NB"
"52","New Brunswick","Investment income","2014/2015","Operating",7,"Investment, donations and other","NB"
"53","New Brunswick","Miscellaneous","2014/2015","Operating",2628,"Investment, donations and other","NB"
"54","New Brunswick","Provincial","2014/2015","Operating",111019,"Provincial","NB"
"55","New Brunswick","Provincial","2014/2015","Sponsored research",315,"Provincial","NB"
"56","New Brunswick","Ancillary enterprises","2014/2015","Operating",4158,"Investment, donations and other","NB"
"57","New Brunswick","Federal","2014/2015","Sponsored research",1030,"Federal","NB"
"58","New Brunswick","Fees","2014/2015","Operating",24688,"Fees","NB"
"59","New Brunswick","Donations, bequests and non-government grants","2014/2015","Sponsored research",1008,"Investment, donations and other","NB"
"60","Newfoundland and Labrador","Ancillary enterprises","2014/2015","Operating",4685,"Investment, donations and other","NL"
"61","Newfoundland and Labrador","Provincial","2014/2015","Capital",4355,"Provincial","NL"
"62","Newfoundland and Labrador","Provincial","2014/2015","Operating",88944,"Provincial","NL"
"63","Newfoundland and Labrador","Municipal","2014/2015","Operating",249,"Municipal","NL"
"64","Newfoundland and Labrador","Federal","2014/2015","Operating",1783,"Federal","NL"
"65","Newfoundland and Labrador","Fees","2014/2015","Operating",29482,"Fees","NL"
"66","Newfoundland and Labrador","Investment income","2014/2015","Operating",305,"Investment, donations and other","NL"
"67","Nova Scotia","Municipal","2014/2015","Sponsored research",99,"Municipal","NS"
"68","Nova Scotia","Federal","2014/2015","Sponsored research",1941,"Federal","NS"
"69","Nova Scotia","Ancillary enterprises","2014/2015","Operating",7858,"Investment, donations and other","NS"
"70","Nova Scotia","Provincial","2014/2015","Operating",146073,"Provincial","NS"
"71","Nova Scotia","Investment income","2014/2015","Operating",843,"Investment, donations and other","NS"
"72","Nova Scotia","Federal","2014/2015","Operating",13531,"Federal","NS"
"73","Nova Scotia","Miscellaneous","2014/2015","Operating",7298,"Investment, donations and other","NS"
"74","Nova Scotia","Provincial","2014/2015","Capital",444,"Provincial","NS"
"75","Nova Scotia","Provincial","2014/2015","Sponsored research",231,"Provincial","NS"
"76","Nova Scotia","Fees","2014/2015","Operating",37230,"Fees","NS"
"77","Nova Scotia","Donations, bequests and non-government grants","2014/2015","Sponsored research",190,"Investment, donations and other","NS"
"78","Ontario","Provincial","2014/2015","Capital",104426,"Provincial","ON"
"79","Ontario","Federal","2014/2015","Operating",23258,"Federal","ON"
"80","Ontario","Investment income","2014/2015","Capital",542,"Investment, donations and other","ON"
"81","Ontario","Ancillary enterprises","2014/2015","Capital",1105,"Investment, donations and other","ON"
"82","Ontario","Fees","2014/2015","Operating",1554308,"Fees","ON"
"83","Ontario","Municipal","2014/2015","Capital",2155,"Municipal","ON"
"84","Ontario","Miscellaneous","2014/2015","Sponsored research",2677,"Investment, donations and other","ON"
"85","Ontario","Ancillary enterprises","2014/2015","Operating",285888,"Investment, donations and other","ON"
"86","Ontario","Miscellaneous","2014/2015","Operating",217917,"Investment, donations and other","ON"
"87","Ontario","Federal","2014/2015","Capital",1477,"Federal","ON"
"88","Ontario","Provincial","2014/2015","Operating",1657910,"Provincial","ON"
"89","Ontario","Miscellaneous","2014/2015","Capital",15671,"Investment, donations and other","ON"
"90","Ontario","Municipal","2014/2015","Operating",4901,"Municipal","ON"
"91","Ontario","Provincial","2014/2015","Sponsored research",3801,"Provincial","ON"
"92","Ontario","Donations, bequests and non-government grants","2014/2015","Operating",28784,"Investment, donations and other","ON"
"93","Ontario","Investment income","2014/2015","Operating",24242,"Investment, donations and other","ON"
"94","Ontario","Donations, bequests and non-government grants","2014/2015","Sponsored research",679,"Investment, donations and other","ON"
"95","Ontario","Federal","2014/2015","Sponsored research",16013,"Federal","ON"
"96","Ontario","Municipal","2014/2015","Sponsored research",15,"Municipal","ON"
"97","Ontario","Donations, bequests and non-government grants","2014/2015","Capital",9004,"Investment, donations and other","ON"
"98","Prince Edward Island","Fees","2014/2015","Operating",17817,"Fees","PE"
"99","Prince Edward Island","Provincial","2014/2015","Operating",26826,"Provincial","PE"
"100","Prince Edward Island","Federal","2014/2015","Operating",4279,"Federal","PE"
"101","Prince Edward Island","Miscellaneous","2014/2015","Operating",4507,"Investment, donations and other","PE"
"102","Prince Edward Island","Donations, bequests and non-government grants","2014/2015","Operating",102,"Investment, donations and other","PE"
