"","GEO","REVENUE","Ref_Date","FUND","Value","Category","GEO2"
"1","Alberta","Investments","2014/2015","Ancillary enterprises",2564,"Investment, donations, grants and other","AB"
"2","Alberta","Total donations","2014/2015","Sponsored research",63961,"Investment, donations, grants and other","AB"
"3","Alberta","Foreign","2014/2015","General operating",28590,"Other government","AB"
"4","Alberta","Total donations","2014/2015","General operating",25106,"Investment, donations, grants and other","AB"
"5","Alberta","Total grants","2014/2015","Capital",11204,"Investment, donations, grants and other","AB"
"6","Alberta","Provincial","2014/2015","Capital",151556,"Provincial","AB"
"7","Alberta","Investments","2014/2015","General operating",147013,"Investment, donations, grants and other","AB"
"8","Alberta","Investments","2014/2015","Sponsored research",44893,"Investment, donations, grants and other","AB"
"9","Alberta","Total grants","2014/2015","General operating",20162,"Investment, donations, grants and other","AB"
"10","Alberta","Provincial","2014/2015","Ancillary enterprises",394,"Provincial","AB"
"11","Alberta","Investments","2014/2015","Special purpose and trust",31790,"Investment, donations, grants and other","AB"
"12","Alberta","Other revenue type","2014/2015","Sponsored research",8697,"Investment, donations, grants and other","AB"
"13","Alberta","Federal","2014/2015","Capital",4161,"Federal","AB"
"14","Alberta","Federal","2014/2015","Endowment",970,"Federal","AB"
"15","Alberta","Foreign","2014/2015","Special purpose and trust",3121,"Other government","AB"
"16","Alberta","Tuition and other fees","2014/2015","General operating",831737,"Tuition and other fees","AB"
"17","Alberta","Other provinces","2014/2015","Sponsored research",13246,"Other government","AB"
"18","Alberta","Investments","2014/2015","Capital",1920,"Investment, donations, grants and other","AB"
"19","Alberta","Total grants","2014/2015","Sponsored research",182250,"Investment, donations, grants and other","AB"
"20","Alberta","Provincial","2014/2015","Endowment",35243,"Provincial","AB"
"21","Alberta","Total grants","2014/2015","Ancillary enterprises",28,"Investment, donations, grants and other","AB"
"22","Alberta","Total donations","2014/2015","Capital",32308,"Investment, donations, grants and other","AB"
"23","Alberta","Tuition and other fees","2014/2015","Special purpose and trust",216,"Tuition and other fees","AB"
"24","Alberta","Municipal","2014/2015","Special purpose and trust",497,"Other government","AB"
"25","Alberta","Municipal","2014/2015","Sponsored research",2046,"Other government","AB"
"26","Alberta","Federal","2014/2015","General operating",4465,"Federal","AB"
"27","Alberta","Provincial","2014/2015","Sponsored research",267849,"Provincial","AB"
"28","Alberta","Other revenue type","2014/2015","General operating",200726,"Investment, donations, grants and other","AB"
"29","Alberta","Other revenue type","2014/2015","Special purpose and trust",10042,"Investment, donations, grants and other","AB"
"30","Alberta","Foreign","2014/2015","Sponsored research",5884,"Other government","AB"
"31","Alberta","Other revenue type","2014/2015","Ancillary enterprises",256363,"Investment, donations, grants and other","AB"
"32","Alberta","Total donations","2014/2015","Ancillary enterprises",1,"Investment, donations, grants and other","AB"
"33","Alberta","Federal","2014/2015","Special purpose and trust",2382,"Federal","AB"
"34","Alberta","Total grants","2014/2015","Special purpose and trust",28959,"Investment, donations, grants and other","AB"
